"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"205",1,1,1,0.622152862077297,0.0777485745665713,0.70287572636377,0.0466544356042914,0.221777598018385,0.0176851442016476
"206",1,0.143632889356958,0.212600443611953,1,0.110994979410503,0.256239402463246,0.823999703804802,1,0.186276454003289
"207",1,0.476118536973517,0.0603836413175065,1,0.572660694796941,0.0483023593556176,0.199300851805243,0.0108982936175575,1
"208",1,0.219420042798388,0.0959096868081375,0.257434067575781,1,0.224530972087976,0.294381768318971,1,0.0263950031984178
"209",1,0.0707228159224158,1,0.0692196322912945,1,0.646393605617958,0.874533228102575,0.208570250234758,0.0309479089933746
"210",0.995697958662484,1,0.851907110357321,0.0616472561535208,0.17831707560111,0.038173586169939,0.260964734923462,1,0.398575886239781
"211",1,0.0474124640772323,1,0.0200702090485621,0.390240460387524,0.576601840170905,0.00860516261415335,0.0141277799944622,0.318482485062848
"212",1,0.221994368928092,0.511567735009484,0.98982787587993,0.0156093041649917,0.31541971378254,0.307028847445099,1,1
"213",0.527929053774405,0.0433642650827383,0.495521482076462,1,0.0294452580839362,1,0.0505165416787894,1,0.33321694193928
"214",0.238719124555632,0.721031555839107,0.0632652295024047,0.303478824040783,1,0.09454939026277,1,1,0.907352100252785
"215",1,0.213200033677394,0.0535346136260515,0.66443302964719,1,0.412509580960342,0.266733589021928,1,0.0191052941049353
"216",0.549190110782389,0.473530425113554,0.626588866841301,0.254127759542143,1,0.0553515877700925,0.0501764911378639,0.0131319330499401,0.0169626480121528
"217",1,0.0372791608292478,1,0.0580205723059606,0.042416331920521,1,0.631799059275426,1,0.152856575581419
"218",1,0.348747911501366,1,0.876581083966186,0.304602947608643,0.878741807796935,0.0154506259124686,1,0.328429712973727
"219",1,0.83516537521348,0.107513631713378,0.239057528706199,0.0551738847300083,0.950523731859725,1,0.992730094334947,0.444662337216381
"220",0.0920336711034214,1,1,0.150161264144361,1,0.966906023221377,0.618457599558682,0.59883236702544,0.0199868284507443
"221",1,1,0.085903159703305,1,0.120571544258369,1,1,0.0143123357412611,1
"222",0.828600835602004,0.653093073644274,0.676663363774909,0.758491521823385,0.0975889957740791,0.0627272192428766,0.248559076902674,0.479636995213094,0.882258959747745
"223",1,0.383015684905315,1,0.456891538552205,1,0.0228432676176783,1,0.125923148919438,1
"224",0.336704309989036,1,0.477634526410847,0.0323267626342493,1,0.576839129811074,0.451016295142812,0.104339649786904,0.0219141810653255
"225",1,1,1,0.419351640076648,0.160290371086024,1,1,1,1
"226",0.115529971011297,1,0.0210724506638081,1,0.318903058903315,0.740017233794741,0.122758305237456,1,1
"227",1,0.190443634547436,0.626598899838502,0.840205476872688,0.312137723357195,1,0.0371261443221728,1,0.792543840906246
"228",1,1,0.0534085232336507,1,1,1,0.515014052796291,0.1789271443923,1
"229",0.878673265993233,1,0.0427039623667383,0.103281095268467,1,0.812469841411754,0.0612115272774193,1,1
"230",0.189780184264965,0.263190299765085,0.0416706592676652,0.551056874861081,0.0446551015239727,0.0258067788922718,0.893069127923207,0.0327102887333158,0.010981146076772
"231",0.10426966697894,0.100922780473836,0.326004373011266,1,1,0.833520850051167,0.740436082666628,0.229517208149234,1
"232",1,1,1,1,1,1,1,1,0.936363598040437
"233",0.993301917902704,0.210743579595352,1,0.642380289902746,0.983519500195386,0.0770109922185306,1,0.270684732946113,0.0197522229096928
"234",0.918493516929592,0.093963628837657,0.864092585246895,1,1,1,0.19633996382661,0.0093463701275092,0.0136856440210339
"235",0.447976891482786,1,1,0.813958666891622,0.038177117186983,0.517579798641619,0.0697018715715981,0.521310629832859,0.0234786134073884
"236",1,0.015256281418101,0.0385018020940691,0.238189563961007,0.162731571824017,0.851189718512264,0.527983314163376,0.0161241857908431,0.0232474894209615
"237",0.976656389309103,1,0.121145374738593,1,0.41771827635162,0.0432454687226978,0.436632479902572,0.023899943765475,0.0130157627439449
